"","feature","sentiment"
"5480"," epochaler ","1"
"5481"," epochalere ","1"
"5482"," epochalerem ","1"
"5483"," epochaleren ","1"
"5484"," epochalerer ","1"
"5485"," epochaleres ","1"
"5486"," epochales ","1"
"5487"," epochalst ","1"
"5488"," epochalste ","1"
"5489"," epochalstem ","1"
"5490"," epochalsten ","1"
"5491"," epochalster ","1"
"5492"," epochalstes ","1"
"18689"," epos ","-1"
"5493"," erarbeit ","1"
"5494"," erarbeite ","1"
"5495"," erarbeiten ","1"
"5496"," erarbeitest ","1"
"5497"," erarbeitet ","1"
"5498"," erarbeitete ","1"
"5499"," erarbeiteten ","1"
"5500"," erarbeitetest ","1"
"5501"," erarbeitetet ","1"
"5502"," erarbeitte ","1"
"5503"," erarbeitten ","1"
"5504"," erarbeittest ","1"
"5505"," erarbeittet ","1"
"5506"," erb ","1"
"24916"," erbarmen ","-1"
"24952"," erbärmlich ","-1"
"24953"," erbärmliche ","-1"
"24954"," erbärmlichem ","-1"
"24955"," erbärmlichen ","-1"
"24956"," erbärmlicher ","-1"
"24957"," erbärmlichere ","-1"
"24958"," erbärmlicherem ","-1"
"24959"," erbärmlicheren ","-1"
"24960"," erbärmlicherer ","-1"
"24961"," erbärmlicheres ","-1"
"24962"," erbärmliches ","-1"
"24963"," erbärmlichst ","-1"
"24964"," erbärmlichste ","-1"
"24965"," erbärmlichstem ","-1"
"24966"," erbärmlichsten ","-1"
"24967"," erbärmlichster ","-1"
"24968"," erbärmlichstes ","-1"
"24917"," erbarmungslos ","-1"
"5507"," erbaulich ","1"
"600"," erbe ","1"
"601"," erben ","1"
"602"," erbes ","1"
"5508"," erbest ","1"
"5509"," erbet ","1"
"24918"," erbittert ","-1"
"24919"," erbitterte ","-1"
"24920"," erbittertem ","-1"
"24921"," erbitterten ","-1"
"24922"," erbitterter ","-1"
"24923"," erbittertere ","-1"
"24924"," erbitterterem ","-1"
"24925"," erbitterteren ","-1"
"24926"," erbitterterer ","-1"
"24927"," erbitterteres ","-1"
"24928"," erbittertes ","-1"
"24929"," erbittertst ","-1"
"24930"," erbittertste ","-1"
"24931"," erbittertstem ","-1"
"24932"," erbittertsten ","-1"
"24933"," erbittertster ","-1"
"24934"," erbittertstes ","-1"
"18690"," erbitterung ","-1"
"18691"," erblindung ","-1"
"24935"," erbost ","-1"
"24936"," erboste ","-1"
"24937"," erbostem ","-1"
"24938"," erbosten ","-1"
"24939"," erboster ","-1"
"24940"," erbostere ","-1"
"24941"," erbosterem ","-1"
"24942"," erbosteren ","-1"
"24943"," erbosterer ","-1"
"24944"," erbosteres ","-1"
"24945"," erbostes ","-1"
"24946"," erbostest ","-1"
"24947"," erbosteste ","-1"
"24948"," erbostestem ","-1"
"24949"," erbostesten ","-1"
"24950"," erbostester ","-1"
"24951"," erbostestes ","-1"
"18692"," erbrechen ","-1"
"18693"," erbrochene ","-1"
"603"," erbschaft ","1"
"5510"," erbst ","1"
"5511"," erbt ","1"
"5512"," erbte ","1"
"5513"," erbten ","1"
"5514"," erbtest ","1"
"5515"," erbtet ","1"
"24969"," erdichtet ","-1"
"18694"," erdichtung ","-1"
"18695"," erdriss ","-1"
"24970"," erdrosseln ","-1"
"24971"," erdrosselte ","-1"
"24972"," erdrückend ","-1"
"24973"," erdrückende ","-1"
"24974"," erdrückendem ","-1"
"24975"," erdrückenden ","-1"
"24976"," erdrückender ","-1"
"24977"," erdrückendere ","-1"
"24978"," erdrückenderem ","-1"
"24979"," erdrückenderen ","-1"
"24980"," erdrückenderer ","-1"
"24981"," erdrückenderes ","-1"
"24982"," erdrückendes ","-1"
"24983"," erdrückendst ","-1"
"24984"," erdrückendste ","-1"
"24985"," erdrückendstem ","-1"
"24986"," erdrückendsten ","-1"
"24987"," erdrückendster ","-1"
"24988"," erdrückendstes ","-1"
"24989"," erdrückte ","-1"
"24990"," erdulden ","-1"
"24991"," erduldete ","-1"
"18696"," ereiferung ","-1"
"24992"," ereignislos ","-1"
"5516"," ereignisreich ","1"
"5517"," erfahren ","1"
"5518"," erfahrene ","1"
"5519"," erfahrenem ","1"
"5520"," erfahrenen ","1"
"5521"," erfahrener ","1"
"5522"," erfahrenere ","1"
"5523"," erfahrenerem ","1"
"5524"," erfahreneren ","1"
"5525"," erfahrenerer ","1"
"5526"," erfahreneres ","1"
"5527"," erfahrenes ","1"
"5528"," erfahrenst ","1"
"5529"," erfahrenste ","1"
"5530"," erfahrenstem ","1"
"5531"," erfahrensten ","1"
"5532"," erfahrenster ","1"
"5533"," erfahrenstes ","1"
"5534"," erfahrner ","1"
"5535"," erfahrnere ","1"
"5536"," erfahrnerem ","1"
"5537"," erfahrneren ","1"
"5538"," erfahrnerer ","1"
"5539"," erfahrneres ","1"
"604"," erfahrung ","1"
"605"," erfahrungen ","1"
"5540"," erfahrungsgemäß ","1"
"5541"," erfassbar ","1"
"5542"," erfinderisch ","1"
"606"," erfindungsgabe ","1"
"5543"," erfindungsreich ","1"
"607"," erfolg ","1"
"608"," erfolge ","1"
"609"," erfolgen ","1"
"610"," erfolges ","1"
"24993"," erfolglos ","-1"
"18697"," erfolglosigkeit ","-1"
"5544"," erfolgreich ","1"
"5545"," erfolgreiche ","1"
"5546"," erfolgreichem ","1"
"5547"," erfolgreichen ","1"
"5548"," erfolgreicher ","1"
"5549"," erfolgreichere ","1"
"5550"," erfolgreicherem ","1"
"5551"," erfolgreicheren ","1"
"5552"," erfolgreicherer ","1"
"5553"," erfolgreicheres ","1"
"5554"," erfolgreiches ","1"
"5555"," erfolgreichst ","1"
"5556"," erfolgreichste ","1"
"5557"," erfolgreichstem ","1"
"5558"," erfolgreichsten ","1"
"5559"," erfolgreichster ","1"
"5560"," erfolgreichstes ","1"
"611"," erfolgs ","1"
"612"," erfolgserlebnis ","1"
"613"," erfolgserlebnisse ","1"
"614"," erfolgserlebnissen ","1"
"615"," erfolgserlebnisses ","1"
"24994"," erfolgshungrig ","-1"
"616"," erfolgswirksamkeit ","1"
"5561"," erfolgversprechend ","1"
"5562"," erforderlich ","1"
"5563"," erforderlichenfalls ","1"
"5564"," erfreu ","1"
"5565"," erfreue ","1"
"5566"," erfreuen ","1"
"5567"," erfreuest ","1"
"5568"," erfreuet ","1"
"5569"," erfreulich ","1"
"5570"," erfreuliche ","1"
"5571"," erfreulichem ","1"
"5572"," erfreulichen ","1"
"5573"," erfreulicher ","1"
"5574"," erfreulichere ","1"
"5575"," erfreulicherem ","1"
"5576"," erfreulicheren ","1"
"5577"," erfreulicherer ","1"
"5578"," erfreulicheres ","1"
"5579"," erfreulicherweise ","1"
"5580"," erfreuliches ","1"
"5581"," erfreulichst ","1"
"5582"," erfreulichste ","1"
"5583"," erfreulichstem ","1"
"5584"," erfreulichsten ","1"
"5585"," erfreulichster ","1"
"5586"," erfreulichstes ","1"
"5587"," erfreust ","1"
"5588"," erfreut ","1"
"5589"," erfreute ","1"
"5590"," erfreuten ","1"
"5591"," erfreutest ","1"
"5592"," erfreutet ","1"
"18698"," erfrierung ","-1"
"5593"," erfrischend ","1"
"5594"," erfüll ","1"
"5595"," erfülle ","1"
"5596"," erfüllen ","1"
"5597"," erfüllest ","1"
"5598"," erfüllet ","1"
"5599"," erfüllst ","1"
"5600"," erfüllt ","1"
"5601"," erfüllte ","1"
"5602"," erfüllten ","1"
"5603"," erfülltest ","1"
"5604"," erfülltet ","1"
"617"," erfüllung ","1"
"618"," erfüllungen ","1"
"24995"," erfunden ","-1"
"5642"," ergänz ","1"
"5643"," ergänze ","1"
"5644"," ergänzen ","1"
"5645"," ergänzest ","1"
"5646"," ergänzet ","1"
"5647"," ergänzt ","1"
"5648"," ergänzte ","1"
"5649"," ergänzten ","1"
"5650"," ergänztest ","1"
"5651"," ergänztet ","1"
"622"," ergänzung ","1"
"623"," ergänzungen ","1"
"24996"," ergauner ","-1"
"24997"," ergaunere ","-1"
"24998"," ergauneren ","-1"
"24999"," ergaunern ","-1"
"25000"," ergaunerst ","-1"
"25001"," ergaunert ","-1"
"25002"," ergaunerte ","-1"
"25003"," ergaunerten ","-1"
"25004"," ergaunertest ","-1"
"25005"," ergaunertet ","-1"
"5605"," ergeben ","1"
"619"," ergebenheit ","1"
"5606"," ergebenst ","1"
"620"," ergebnis ","1"
"25006"," ergebnislos ","-1"
"25007"," ergebnislose ","-1"
"25008"," ergebnislosem ","-1"
"25009"," ergebnislosen ","-1"
"25010"," ergebnisloser ","-1"
"25011"," ergebnislosere ","-1"
"25012"," ergebnisloserem ","-1"
"25013"," ergebnisloseren ","-1"
"25014"," ergebnisloserer ","-1"
"25015"," ergebnisloseres ","-1"
"25016"," ergebnisloses ","-1"
"25017"," ergebnislosest ","-1"
"25018"," ergebnisloseste ","-1"
"25019"," ergebnislosestem ","-1"
"25020"," ergebnislosesten ","-1"
"25021"," ergebnislosester ","-1"
"25022"," ergebnislosestes ","-1"
"5607"," ergebnisreich ","1"
"5608"," ergebnisreiche ","1"
"5609"," ergebnisreichem ","1"
"5610"," ergebnisreichen ","1"
"5611"," ergebnisreicher ","1"
"5612"," ergebnisreichere ","1"
"5613"," ergebnisreicherem ","1"
"5614"," ergebnisreicheren ","1"
"5615"," ergebnisreicherer ","1"
"5616"," ergebnisreicheres ","1"
"5617"," ergebnisreiches ","1"
"5618"," ergebnisreichst ","1"
"5619"," ergebnisreichste ","1"
"5620"," ergebnisreichstem ","1"
"5621"," ergebnisreichsten ","1"
"5622"," ergebnisreichster ","1"
"5623"," ergebnisreichstes ","1"
"5624"," ergiebig ","1"
"5625"," ergiebige ","1"
"5626"," ergiebigem ","1"
"5627"," ergiebigen ","1"
"5628"," ergiebiger ","1"
"5629"," ergiebigere ","1"
"5630"," ergiebigerem ","1"
"5631"," ergiebigeren ","1"
"5632"," ergiebigerer ","1"
"5633"," ergiebigeres ","1"
"5634"," ergiebiges ","1"
"621"," ergiebigkeit ","1"
"5635"," ergiebigst ","1"
"5636"," ergiebigste ","1"
"5637"," ergiebigstem ","1"
"5638"," ergiebigsten ","1"
"5639"," ergiebigster ","1"
"5640"," ergiebigstes ","1"
"5652"," ergötzlich ","1"
"624"," ergötzlichkeit ","1"
"5641"," ergreifend ","1"
"18699"," erguss ","-1"
"5653"," erhaben ","1"
"625"," erhabenheit ","1"
"5654"," erhalten ","1"
"5721"," erhältlich ","1"
"5722"," erhältliche ","1"
"5723"," erhältlichem ","1"
"5724"," erhältlichen ","1"
"5725"," erhältlicher ","1"
"5726"," erhältlichere ","1"
"5727"," erhältlicherem ","1"
"5728"," erhältlicheren ","1"
"5729"," erhältlicherer ","1"
"5730"," erhältlicheres ","1"
"5731"," erhältliches ","1"
"5732"," erhältlichst ","1"
"5733"," erhältlichste ","1"
"5734"," erhältlichstem ","1"
"5735"," erhältlichsten ","1"
"5736"," erhältlichster ","1"
"5737"," erhältlichstes ","1"
"626"," erhaltung ","1"
"5655"," erheben ","1"
"5656"," erhebend ","1"
"5657"," erhebende ","1"
"5658"," erhebendem ","1"
"5659"," erhebenden ","1"
"5660"," erhebender ","1"
"5661"," erhebendere ","1"
"5662"," erhebenderem ","1"
"5663"," erhebenderen ","1"
"5664"," erhebenderer ","1"
"5665"," erhebenderes ","1"
"5666"," erhebendes ","1"
"5667"," erhebendst ","1"
"5668"," erhebendste ","1"
"5669"," erhebendstem ","1"
"5670"," erhebendsten ","1"
"5671"," erhebendster ","1"
"5672"," erhebendstes ","1"
"627"," erhebung ","1"
"628"," erheiterung ","1"
"5690"," erhielt ","1"
"5691"," erhob ","1"
"5738"," erhöh ","1"
"5739"," erhöhe ","1"
"5740"," erhöhen ","1"
"5741"," erhöhest ","1"
"5742"," erhöhet ","1"
"5743"," erhöhst ","1"
"5744"," erhöht ","1"
"5745"," erhöhte ","1"
"5746"," erhöhten ","1"
"5747"," erhöhtest ","1"
"5748"," erhöhtet ","1"
"631"," erhöhung ","1"
"632"," erhöhungen ","1"
"18700"," erhöhungszeichen ","-1"
"5692"," erhol ","1"
"5693"," erhole ","1"
"5694"," erholen ","1"
"5695"," erholest ","1"
"5696"," erholet ","1"
"5697"," erholsam ","1"
"5698"," erholsame ","1"
"5699"," erholsamem ","1"
"5700"," erholsamen ","1"
"5701"," erholsamer ","1"
"5702"," erholsamere ","1"
"5703"," erholsamerem ","1"
"5704"," erholsameren ","1"
"5705"," erholsamerer ","1"
"5706"," erholsameres ","1"
"5707"," erholsames ","1"
"5708"," erholsamst ","1"
"5709"," erholsamste ","1"
"5710"," erholsamstem ","1"
"5711"," erholsamsten ","1"
"5712"," erholsamster ","1"
"5713"," erholsamstes ","1"
"5714"," erholst ","1"
"5715"," erholt ","1"
"5716"," erholte ","1"
"5717"," erholten ","1"
"5718"," erholtest ","1"
"5719"," erholtet ","1"
"629"," erholung ","1"
"5720"," erholungsfähig ","1"
"630"," erholungsprozess ","1"
"5749"," erinnernd ","1"
"5750"," erinnerungswert ","1"
"18702"," erkältung ","-1"
"5751"," erkennbar ","1"
"5752"," erkennbare ","1"
"5753"," erkennbarem ","1"
"5754"," erkennbaren ","1"
"5755"," erkennbarer ","1"
"5756"," erkennbarere ","1"
"5757"," erkennbarerem ","1"
"5758"," erkennbareren ","1"
"5759"," erkennbarerer ","1"
"5760"," erkennbareres ","1"
"5761"," erkennbares ","1"
"5762"," erkennbarst ","1"
"5763"," erkennbarste ","1"
"5764"," erkennbarstem ","1"
"5765"," erkennbarsten ","1"
"5766"," erkennbarster ","1"
"5767"," erkennbarstes ","1"
"5768"," erkenntlich ","1"
"633"," erkenntlichkeit ","1"
"634"," erkenntnis ","1"
"25023"," erklärlich ","-1"
"5770"," erklärt ","1"
"5771"," erklärte ","1"
"5772"," erklärtem ","1"
"5773"," erklärten ","1"
"5774"," erklärter ","1"
"5775"," erklärtere ","1"
"5776"," erklärterem ","1"
"5777"," erklärteren ","1"
"5778"," erklärterer ","1"
"5779"," erklärteres ","1"
"5780"," erklärtes ","1"
"5781"," erklärtest ","1"
"5782"," erklärteste ","1"
"5783"," erklärtestem ","1"
"5784"," erklärtesten ","1"
"5785"," erklärtester ","1"
"5786"," erklärtestes ","1"
"5769"," erklimmen ","1"
"25024"," erkrankt ","-1"
"18701"," erkrankung ","-1"
"25025"," erlahmend ","-1"
"25029"," erlässlich ","-1"
"5787"," erlaub ","1"
"5788"," erlaube ","1"
"5789"," erlauben ","1"
"5790"," erlaubest ","1"
"5791"," erlaubet ","1"
"635"," erlaubnis ","1"
"636"," erlaubnisse ","1"
"637"," erlaubnissen ","1"
"5792"," erlaubst ","1"
"5793"," erlaubt ","1"
"5794"," erlaubte ","1"
"5795"," erlaubten ","1"
"5796"," erlaubtest ","1"
"5797"," erlaubtet ","1"
"5798"," erlaucht ","1"
"638"," erlebensfall ","1"
"639"," erlebnis ","1"
"25026"," erledigt ","-1"
"5799"," erleichter ","1"
"5800"," erleichtere ","1"
"5801"," erleichteren ","1"
"5802"," erleichtern ","1"
"5803"," erleichterst ","1"
"5804"," erleichtert ","1"
"5805"," erleichterte ","1"
"5806"," erleichterten ","1"
"5807"," erleichtertest ","1"
"5808"," erleichtertet ","1"
"640"," erleichterung ","1"
"641"," erleichterungen ","1"
"25027"," erleiden ","-1"
"642"," erlesenheit ","1"
"5809"," erleucht ","1"
"5810"," erleuchte ","1"
"5811"," erleuchten ","1"
"5812"," erleuchtend ","1"
"5813"," erleuchtest ","1"
"5814"," erleuchtet ","1"
"5815"," erleuchtete ","1"
"5816"," erleuchteten ","1"
"5817"," erleuchtetest ","1"
"5818"," erleuchtetet ","1"
"5819"," erleuchtte ","1"
"5820"," erleuchtten ","1"
"5821"," erleuchttest ","1"
"5822"," erleuchttet ","1"
"643"," erleuchtung ","1"
"644"," erleuchtungen ","1"
"25028"," erliegen ","-1"
"5823"," erlös ","1"
"25030"," erlöschen ","-1"
"5824"," erlöse ","1"
"5825"," erlösen ","1"
"5826"," erlösest ","1"
"5827"," erlöset ","1"
"5828"," erlöst ","1"
"5829"," erlöste ","1"
"5830"," erlösten ","1"
"5831"," erlöstest ","1"
"5832"," erlöstet ","1"
"645"," erlösung ","1"
"646"," erlösungen ","1"
"649"," ermächtigung ","1"
"25031"," ermahn ","-1"
"25032"," ermahne ","-1"
"25033"," ermahnen ","-1"
"25034"," ermahnest ","-1"
"25035"," ermahnet ","-1"
"25036"," ermahnst ","-1"
"25037"," ermahnt ","-1"
"25038"," ermahnte ","-1"
"25039"," ermahnten ","-1"
"25040"," ermahntest ","-1"
"25041"," ermahntet ","-1"
"18703"," ermahnung ","-1"
"18704"," ermahnungen ","-1"
"18705"," ermangelung ","-1"
"18706"," ermanglung ","-1"
"25042"," ermattet ","-1"
"18707"," ermattung ","-1"
"5833"," ermittelbar ","1"
"5847"," ermöglich ","1"
"5848"," ermögliche ","1"
"5849"," ermöglichen ","1"
"5850"," ermöglichest ","1"
"5851"," ermöglichet ","1"
"5852"," ermöglichst ","1"
"5853"," ermöglicht ","1"
"5854"," ermöglichte ","1"
"5855"," ermöglichten ","1"
"5856"," ermöglichtest ","1"
"5857"," ermöglichtet ","1"
"25043"," ermord ","-1"
"25044"," ermorde ","-1"
"25045"," ermorden ","-1"
"25046"," ermordest ","-1"
"25047"," ermordet ","-1"
"25048"," ermordete ","-1"
"25049"," ermordeten ","-1"
"25050"," ermordetest ","-1"
"25051"," ermordetet ","-1"
"25052"," ermordte ","-1"
"25053"," ermordten ","-1"
"25054"," ermordtest ","-1"
"25055"," ermordtet ","-1"
"18708"," ermordung ","-1"
"18709"," ermordungen ","-1"
"25056"," ermüd ","-1"
"25057"," ermüde ","-1"
"25058"," ermüden ","-1"
"25059"," ermüdend ","-1"
"25060"," ermüdest ","-1"
"25061"," ermüdet ","-1"
"25062"," ermüdete ","-1"
"25063"," ermüdeten ","-1"
"25064"," ermüdetest ","-1"
"25065"," ermüdetet ","-1"
"25066"," ermüdte ","-1"
"25067"," ermüdten ","-1"
"25068"," ermüdtest ","-1"
"25069"," ermüdtet ","-1"
"18710"," ermüdung ","-1"
"18711"," ermüdungen ","-1"
"5834"," ermunternd ","1"
"5835"," ermutig ","1"
"5836"," ermutige ","1"
"5837"," ermutigen ","1"
"5838"," ermutigend ","1"
"5839"," ermutigest ","1"
"5840"," ermutiget ","1"
"5841"," ermutigst ","1"
"5842"," ermutigt ","1"
"5843"," ermutigte ","1"
"5844"," ermutigten ","1"
"5845"," ermutigtest ","1"
"5846"," ermutigtet ","1"
"647"," ermutigung ","1"
"648"," ermutigungen ","1"
"5858"," erneuer ","1"
"5859"," erneuere ","1"
"5860"," erneueren ","1"
"5861"," erneuern ","1"
"5862"," erneuerst ","1"
"5863"," erneuert ","1"
"5864"," erneuerte ","1"
"5865"," erneuerten ","1"
"5866"," erneuertest ","1"
"5867"," erneuertet ","1"
"650"," erneuerung ","1"
"651"," erneuerungen ","1"
"25070"," erniedrig ","-1"
"25071"," erniedrige ","-1"
"25072"," erniedrigen ","-1"
"25073"," erniedrigend ","-1"
"18712"," erniedriger ","-1"
"25074"," erniedrigest ","-1"
"25075"," erniedriget ","-1"
"25076"," erniedrigst ","-1"
"25077"," erniedrigt ","-1"
"25078"," erniedrigte ","-1"
"25079"," erniedrigten ","-1"
"25080"," erniedrigtest ","-1"
"25081"," erniedrigtet ","-1"
"18713"," erniedrigung ","-1"
"18714"," erniedrigungen ","-1"
"18715"," ernst ","-1"
"5868"," ernsthaft ","1"
"5869"," ernsthafte ","1"
"5870"," ernsthaftem ","1"
"5871"," ernsthaften ","1"
"5872"," ernsthafter ","1"
"5873"," ernsthaftere ","1"
"5874"," ernsthafterem ","1"
"5875"," ernsthafteren ","1"
"5876"," ernsthafterer ","1"
"5877"," ernsthafteres ","1"
"5878"," ernsthaftes ","1"
"5879"," ernsthaftest ","1"
"5880"," ernsthafteste ","1"
"5881"," ernsthaftestem ","1"
"5882"," ernsthaftesten ","1"
"5883"," ernsthaftester ","1"
"5884"," ernsthaftestes ","1"
"652"," ernsthaftigkeit ","1"
"25082"," ernstlich ","-1"
"25083"," ernstzunehmend ","-1"
"25084"," ernüchternd ","-1"
"18716"," ernüchterung ","-1"
"18717"," ernüchterungen ","-1"
"18718"," erosion ","-1"
"18719"," erosionen ","-1"
"25085"," erpress ","-1"
"25086"," erpresse ","-1"
"25087"," erpressen ","-1"
"25088"," erpressest ","-1"
"25089"," erpresset ","-1"
"25090"," erpresst ","-1"
"25091"," erpresste ","-1"
"25092"," erpressten ","-1"
"25093"," erpresstest ","-1"
"25094"," erpresstet ","-1"
"18720"," erpressung ","-1"
"18721"," erpressungen ","-1"
"18722"," erpressungsversuch ","-1"
"25095"," erratisch ","-1"
"18723"," erregbarkeit ","-1"
"5885"," erregend ","1"
"18724"," erreger ","-1"
"5886"," erregt ","1"
"5887"," erreich ","1"
"5888"," erreichbar ","1"
"5889"," erreiche ","1"
"5890"," erreichen ","1"
"5891"," erreichest ","1"
"5892"," erreichet ","1"
"5893"," erreichst ","1"
"5894"," erreicht ","1"
"5895"," erreichte ","1"
"5896"," erreichten ","1"
"5897"," erreichtest ","1"
"5898"," erreichtet ","1"
"653"," errettung ","1"
"5899"," ersah ","1"
"5900"," erschaffen ","1"
"25096"," erschaudern ","-1"
"25097"," erschauderte ","-1"
"25098"," erschießen ","-1"
"25099"," erschlaff ","-1"
"25100"," erschlaffe ","-1"
"25101"," erschlaffen ","-1"
"25102"," erschlaffend ","-1"
"25103"," erschlaffest ","-1"
"25104"," erschlaffet ","-1"
"25105"," erschlaffst ","-1"
"25106"," erschlafft ","-1"
"25107"," erschlaffte ","-1"
"25108"," erschlafften ","-1"
"25109"," erschlafftest ","-1"
"25110"," erschlafftet ","-1"
"25111"," erschlagen ","-1"
"5901"," erschlossen ","1"
"25135"," erschöpf ","-1"
"25136"," erschöpfe ","-1"
"25137"," erschöpfen ","-1"
"5904"," erschöpfend ","1"
"25138"," erschöpfest ","-1"
"25139"," erschöpfet ","-1"
"25140"," erschöpfst ","-1"
"25141"," erschöpft ","-1"
"25142"," erschöpfte ","-1"
"25143"," erschöpftem ","-1"
"25144"," erschöpften ","-1"
"25145"," erschöpfter ","-1"
"25146"," erschöpftere ","-1"
"25147"," erschöpfterem ","-1"
"25148"," erschöpfteren ","-1"
"25149"," erschöpfterer ","-1"
"25150"," erschöpfteres ","-1"
"25151"," erschöpftes ","-1"
"25152"," erschöpftest ","-1"
"25153"," erschöpfteste ","-1"
"25154"," erschöpftestem ","-1"
"25155"," erschöpftesten ","-1"
"25156"," erschöpftester ","-1"
"25157"," erschöpftestes ","-1"
"25158"," erschöpftet ","-1"
"18727"," erschöpfung ","-1"
"18728"," erschöpfungen ","-1"
"25112"," erschreck ","-1"
"25113"," erschrecke ","-1"
"25114"," erschrecken ","-1"
"25115"," erschreckend ","-1"
"25116"," erschreckest ","-1"
"25117"," erschrecket ","-1"
"25118"," erschreckst ","-1"
"25119"," erschreckt ","-1"
"25120"," erschreckte ","-1"
"25121"," erschreckten ","-1"
"25122"," erschrecktest ","-1"
"25123"," erschrecktet ","-1"
"25124"," erschrocken ","-1"
"25159"," erschütter ","-1"
"25160"," erschüttere ","-1"
"25161"," erschütteren ","-1"
"25162"," erschüttern ","-1"
"25163"," erschütternd ","-1"
"25164"," erschütterst ","-1"
"25165"," erschüttert ","-1"
"25166"," erschütterte ","-1"
"25167"," erschütterten ","-1"
"25168"," erschüttertest ","-1"
"25169"," erschüttertet ","-1"
"18729"," erschütterung ","-1"
"18730"," erschütterungen ","-1"
"25125"," erschwer ","-1"
"25126"," erschwere ","-1"
"25127"," erschweren ","-1"
"25128"," erschwern ","-1"
"18725"," erschwernis ","-1"
"25129"," erschwerst ","-1"
"25130"," erschwert ","-1"
"25131"," erschwerte ","-1"
"25132"," erschwerten ","-1"
"25133"," erschwertest ","-1"
"25134"," erschwertet ","-1"
"18726"," erschwerung ","-1"
"5902"," erschwinglich ","1"
"5903"," erschwinglicher ","1"
"654"," ersparnis ","1"
"655"," ersparnise ","1"
"656"," ersparnisen ","1"
"657"," ersparnisse ","1"
"18731"," ersparung ","-1"
"5905"," ersprießlich ","1"
"5906"," ersprießliche ","1"
"5907"," ersprießlichem ","1"
"5908"," ersprießlichen ","1"
"5909"," ersprießlicher ","1"
"5910"," ersprießlichere ","1"
"5911"," ersprießlicherem ","1"
"5912"," ersprießlicheren ","1"
"5913"," ersprießlicherer ","1"
"5914"," ersprießlicheres ","1"
"5915"," ersprießliches ","1"
"5916"," ersprießlichst ","1"
"5917"," ersprießlichste ","1"
"5918"," ersprießlichstem ","1"
"5919"," ersprießlichsten ","1"
"5920"," ersprießlichster ","1"
"5921"," ersprießlichstes ","1"
"5922"," erstand ","1"
"658"," erstanfertigung ","1"
"25170"," erstarrt ","-1"
"5923"," erstaun ","1"
"5924"," erstaune ","1"
"659"," erstaunen ","1"
"5925"," erstaunest ","1"
"5926"," erstaunet ","1"
"5927"," erstaunlich ","1"
"5928"," erstaunliche ","1"
"5929"," erstaunlichem ","1"
"5930"," erstaunlichen ","1"
"5931"," erstaunlicher ","1"
"5932"," erstaunlichere ","1"
"5933"," erstaunlicherem ","1"
"5934"," erstaunlicheren ","1"
"5935"," erstaunlicherer ","1"
"5936"," erstaunlicheres ","1"
"5937"," erstaunlicherweise ","1"
"5938"," erstaunliches ","1"
"5939"," erstaunlichst ","1"
"5940"," erstaunlichste ","1"
"5941"," erstaunlichstem ","1"
"5942"," erstaunlichsten ","1"
"5943"," erstaunlichster ","1"
"5944"," erstaunlichstes ","1"
"5945"," erstaunst ","1"
"5946"," erstaunt ","1"
"5947"," erstaunte ","1"
"5948"," erstaunten ","1"
"5949"," erstauntest ","1"
"5950"," erstauntet ","1"
"25171"," erstechen ","-1"
"5951"," erster ","1"
"25172"," erstick ","-1"
"25173"," ersticke ","-1"
"25174"," ersticken ","-1"
"25175"," erstickend ","-1"
"25176"," erstickest ","-1"
"25177"," ersticket ","-1"
"25178"," erstickst ","-1"
"25179"," erstickt ","-1"
"25180"," erstickte ","-1"
"25181"," erstickten ","-1"
"25182"," ersticktest ","-1"
"25183"," ersticktet ","-1"
"5952"," erstklassig ","1"
"5953"," erstklassige ","1"
"5954"," erstklassigem ","1"
"5955"," erstklassigen ","1"
"5956"," erstklassiger ","1"
"5957"," erstklassigere ","1"
"5958"," erstklassigerem ","1"
"5959"," erstklassigeren ","1"
"5960"," erstklassigerer ","1"
"5961"," erstklassigeres ","1"
"5962"," erstklassiges ","1"
"5963"," erstklassigst ","1"
"5964"," erstklassigste ","1"
"5965"," erstklassigstem ","1"
"5966"," erstklassigsten ","1"
"5967"," erstklassigster ","1"
"5968"," erstklassigstes ","1"
"5969"," erstrangig ","1"
"5970"," erstrangige ","1"
"5971"," erstrangigem ","1"
"5972"," erstrangigen ","1"
"5973"," erstrangiger ","1"
"5974"," erstrangigere ","1"
"5975"," erstrangigerem ","1"
"5976"," erstrangigeren ","1"
"5977"," erstrangigerer ","1"
"5978"," erstrangigeres ","1"
"5979"," erstrangiges ","1"
"5980"," erstrangigst ","1"
"5981"," erstrangigste ","1"
"5982"," erstrangigstem ","1"
"5983"," erstrangigsten ","1"
"5984"," erstrangigster ","1"
"5985"," erstrangigstes ","1"
"5986"," erstrebenswert ","1"
"5987"," erstrebenswerte ","1"
"5988"," erstrebenswertem ","1"
"5989"," erstrebenswerten ","1"
"5990"," erstrebenswerter ","1"
"5991"," erstrebenswertere ","1"
"5992"," erstrebenswerterem ","1"
"5993"," erstrebenswerteren ","1"
"5994"," erstrebenswerterer ","1"
"5995"," erstrebenswerteres ","1"
"5996"," erstrebenswertes ","1"
"5997"," erstrebenswertest ","1"
"5998"," erstrebenswerteste ","1"
"5999"," erstrebenswertestem ","1"
"6000"," erstrebenswertesten ","1"
"6001"," erstrebenswertester ","1"
"6002"," erstrebenswertestes ","1"
